County,bradyVote,quinnVote,totalVote,brady,quinn
ADAMS,17765,4883,22648,0.784395973,0.215604027
ALEXANDER,1248,1371,2619,0.476517755,0.523482245
BOND,3345,1847,5192,0.644260401,0.355739599
BOONE,9074,4414,13488,0.672746145,0.327253855
BROWN,1503,499,2002,0.750749251,0.249250749
BUREAU,7319,4371,11690,0.626090676,0.373909324
CALHOUN,1227,961,2188,0.560786106,0.439213894
CARROLL,3361,1445,4806,0.699334166,0.300665834
CASS,2433,1088,3521,0.690996876,0.309003124
CHAMPAIGN,29297,21053,50350,0.581866931,0.418133069
CHRISTIAN,7465,3820,11285,0.661497563,0.338502437
CLARK,4231,1629,5860,0.722013652,0.277986348
CLAY,3484,1158,4642,0.750538561,0.249461439
CLINTON,8547,3653,12200,0.70057377,0.29942623
COLES,9713,4100,13813,0.703178165,0.296821835
COOK,400285,900838,1301123,0.30764578,0.69235422
CRAWFORD,4864,1691,6555,0.742028986,0.257971014
CUMBERLAND,2993,970,3963,0.755235932,0.244764068
DOUGLAS,4753,1239,5992,0.793224299,0.206775701
DeKALB,14949,10852,25801,0.579396147,0.420603853
DeWITT,3920,1358,5278,0.74270557,0.25729443
DuPAGE,154986,110117,265103,0.584625598,0.415374402
EDGAR,4890,1607,6497,0.752655072,0.247344928
EDWARDS,1800,380,2180,0.825688073,0.174311927
EFFINGHAM,9856,2381,12237,0.805426167,0.194573833
FAYETTE,4675,1598,6273,0.745257453,0.254742547
FORD,3452,906,4358,0.792106471,0.207893529
FRANKLIN,6395,5741,12136,0.526944628,0.473055372
FULTON,5786,4748,10534,0.549269034,0.450730966
GALLATIN,1148,883,2031,0.565238799,0.434761201
GREENE,2739,1305,4044,0.677299703,0.322700297
GRUNDY,9132,5813,14945,0.611040482,0.388959518
HAMILTON,2052,1206,3258,0.629834254,0.370165746
HANCOCK,4780,1631,6411,0.745593511,0.254406489
HARDIN,1303,680,1983,0.657085224,0.342914776
HENDERSON,1888,1297,3185,0.59277865,0.40722135
HENRY,10900,5980,16880,0.645734597,0.354265403
IROQUOIS,7741,1997,9738,0.79492709,0.20507291
JACKSON,7220,7386,14606,0.494317404,0.505682596
JASPER,2837,1008,3845,0.737841352,0.262158648
JEFFERSON,7500,4030,11530,0.650477016,0.349522984
JERSEY,4724,2509,7233,0.653117655,0.346882345
JOHNSON,3021,1309,4330,0.697690531,0.302309469
JoDAVIESS,4763,2842,7605,0.626298488,0.373701512
KANE,68426,48579,117005,0.584812615,0.415187385
KANKAKEE,17207,12046,29253,0.588213175,0.411786825
KENDALL,17130,11158,28288,0.605557127,0.394442873
KNOX,9085,6465,15550,0.584244373,0.415755627
LAKE,102675,86878,189553,0.541669085,0.458330915
LAWRENCE,3229,1642,4871,0.662902895,0.337097105
LEE,6838,3246,10084,0.678103927,0.321896073
LIVINGSTON,8273,3503,11776,0.702530571,0.297469429
LOGAN,6304,1953,8257,0.763473416,0.236526584
LaSALLE,17378,13495,30873,0.562886665,0.437113335
MACON,21914,11966,33880,0.646812279,0.353187721
MACOUPIN,9278,6042,15320,0.605613577,0.394386423
MADISON,44382,33060,77442,0.573099868,0.426900132
MARION,7016,4168,11184,0.62732475,0.37267525
MARSHALL,2744,1162,3906,0.702508961,0.297491039
