County,obamavote,romneyvote,totalvote,obama,romney
ADAMS,9648,20416,30064,0.320915381,0.679084619
ALEXANDER,1965,1487,3452,0.569235226,0.430764774
BOND,3020,4095,7115,0.424455376,0.575544624
BOONE,9883,11096,20979,0.471090138,0.528909862
BROWN,787,1513,2300,0.342173913,0.657826087
BUREAU,8134,8164,16298,0.499079642,0.500920358
CALHOUN,1080,1440,2520,0.428571429,0.571428571
CARROLL,3665,3555,7220,0.507617729,0.492382271
CASS,2053,2707,4760,0.431302521,0.568697479
CHAMPAIGN,40831,35312,76143,0.53624102,0.46375898
CHRISTIAN,5494,8885,14379,0.382084985,0.617915015
CLARK,2591,5144,7735,0.334970911,0.665029089
CLAY,1584,4190,5774,0.274333218,0.725666782
CLINTON,5596,10524,16120,0.347146402,0.652853598
COLES,9262,11631,20893,0.443306371,0.556693629
COOK,1488537,495542,1984079,0.750240792,0.249759208
CRAWFORD,2858,5585,8443,0.338505271,0.661494729
CUMBERLAND,1641,3509,5150,0.318640777,0.681359223
DOUGLAS,2430,5334,7764,0.312982998,0.687017002
DeKALB,21207,18934,40141,0.528312698,0.471687302
DeWITT,2601,4579,7180,0.362256267,0.637743733
DuPAGE,199460,195046,394506,0.505594338,0.494405662
EDGAR,2565,5132,7697,0.33324672,0.66675328
EDWARDS,754,2405,3159,0.238683128,0.761316872
EFFINGHAM,3861,12501,16362,0.235973597,0.764026403
FAYETTE,2853,5951,8804,0.324057247,0.675942753
FORD,1656,4229,5885,0.281393373,0.718606627
FRANKLIN,7254,10267,17521,0.414017465,0.585982535
FULTON,8328,6632,14960,0.556684492,0.443315508
GALLATIN,1029,1492,2521,0.408171361,0.591828639
GREENE,2023,3451,5474,0.369565217,0.630434783
GRUNDY,9451,11343,20794,0.454506108,0.545493892
HAMILTON,1269,2566,3835,0.330899609,0.669100391
HANCOCK,3650,5271,8921,0.409146957,0.590853043
HARDIN,742,1535,2277,0.325867369,0.674132631
HENDERSON,1978,1541,3519,0.562091503,0.437908497
HENRY,12332,11583,23915,0.515659628,0.484340372
IROQUOIS,3413,9120,12533,0.272321072,0.727678928
JACKSON,13319,9864,23183,0.574515809,0.425484191
JASPER,1436,3514,4950,0.29010101,0.70989899
