County,raunerVote,quinnVote,totalvotes,rauner,quinn
ADAMS,17146,4342,21488,0.79793373,0.20206627
ALEXANDER,1137,1015,2152,0.528345725,0.471654275
BOND,3082,1442,4524,0.681255526,0.318744474
BOONE,9529,5029,14558,0.654554197,0.345445803
BROWN,1120,364,1484,0.754716981,0.245283019
BUREAU,7258,4731,11989,0.605388273,0.394611727
CALHOUN,1157,683,1840,0.628804348,0.371195652
CARROLL,3621,1582,5203,0.695944647,0.304055353
CASS,2242,1249,3491,0.642222859,0.357777141
CHAMPAIGN,29918,22314,52232,0.572790626,0.427209374
CHRISTIAN,7462,3265,10727,0.695627855,0.304372145
CLARK,3805,1083,4888,0.778436989,0.221563011
CLAY,2948,721,3669,0.803488689,0.196511311
CLINTON,9699,2270,11969,0.810343387,0.189656613
COLES,9507,4376,13883,0.684794353,0.315205647
COOK,447388,870866,1318254,0.339379209,0.660620791
CRAWFORD,4375,1505,5880,0.744047619,0.255952381
CUMBERLAND,2739,926,3665,0.7473397,0.2526603
DOUGLAS,4522,1156,5678,0.796407186,0.203592814
DeKALB,16246,10944,27190,0.597499081,0.402500919
DeWITT,3859,1299,5158,0.748158201,0.251841799
DuPAGE,174041,105374,279415,0.622876367,0.377123633
EDGAR,4491,1435,5926,0.757846777,0.242153223
EDWARDS,1862,314,2176,0.855698529,0.144301471
EFFINGHAM,9352,2272,11624,0.804542326,0.195457674
FAYETTE,4638,1481,6119,0.757966988,0.242033012
FORD,3401,854,4255,0.799294947,0.200705053
FRANKLIN,7677,4104,11781,0.651642475,0.348357525
FULTON,5173,4976,10149,0.50970539,0.49029461
GALLATIN,1145,564,1709,0.669982446,0.330017554
GREENE,2820,1159,3979,0.708720784,0.291279216
GRUNDY,9760,6073,15833,0.61643403,0.38356597
HAMILTON,2136,780,2916,0.732510288,0.267489712
HANCOCK,4271,1343,5614,0.76077663,0.23922337
HARDIN,922,419,1341,0.687546607,0.312453393
HENDERSON,1559,912,2471,0.630918656,0.369081344
HENRY,10829,5958,16787,0.645082504,0.354917496
IROQUOIS,7329,1723,9052,0.809655325,0.190344675
JACKSON,8114,6876,14990,0.541294196,0.458705804
JASPER,2897,936,3833,0.755804853,0.244195147
JEFFERSON,8281,3310,11591,0.714433612,0.285566388
JERSEY,5215,2292,7507,0.694684961,0.305315039
JOHNSON,3170,1099,4269,0.742562661,0.257437339
JoDAVIESS,4726,2700,7426,0.636412604,0.363587396
KANE,75835,46363,122198,0.620591172,0.379408828
KANKAKEE,20449,12431,32880,0.621928224,0.378071776
KENDALL,19946,11361,31307,0.637109912,0.362890088
KNOX,8311,6925,15236,0.545484379,0.454515621
LAKE,116277,79939,196216,0.592596934,0.407403066
LAWRENCE,2670,1216,3886,0.687081832,0.312918168
LEE,6527,4061,10588,0.616452588,0.383547412
LIVINGSTON,7335,3073,10408,0.704746349,0.295253651
LOGAN,5864,2201,8065,0.727092374,0.272907626
LaSALLE,19843,13871,33714,0.588568547,0.411431453
MACON,20467,11345,31812,0.64337357,0.35662643
MACOUPIN,9278,5169,14447,0.642209455,0.357790545
MADISON,46075,28444,74519,0.618298689,0.381701311
MARION,8683,2291,10974,0.791233825,0.208766175
MARSHALL,2666,1285,3951,0.674765882,0.325234118
MASON,2952,1891,4843,0.609539542,0.390460458
MASSAC,2828,1268,4096,0.690429688,0.309570313
MENARD,3239,1371,4610,0.702603037,0.297396963
MERCER,3823,2377,6200,0.616612903,0.383387097
MONROE,8843,3138,11981,0.738085302,0.261914698
MONTGOMERY,5260,2752,8012,0.656515227,0.343484773
MORGAN,7192,3182,10374,0.693271641,0.306728359
MOULTRIE,3261,1021,4282,0.761560019,0.238439981
McDONOUGH,5242,2842,8084,0.648441366,0.351558634
McHENRY,61827,29116,90943,0.679843418,0.320156582
McLEAN,31646,16600,48246,0.655930025,0.344069975
OGLE,11236,5015,16251,0.691403606,0.308596394
PEORIA,28127,21232,49359,0.569845418,0.430154582
PERRY,4481,2294,6775,0.661402214,0.338597786
PIATT,4975,1702,6677,0.745095103,0.254904897
PIKE,4110,1268,5378,0.764224619,0.235775381
POPE,1057,409,1466,0.72100955,0.27899045
PULASKI,1487,917,2404,0.618552413,0.381447587
PUTNAM,1264,1096,2360,0.53559322,0.46440678
RANDOLPH,6607,3838,10445,0.63255146,0.36744854
RICHLAND,3525,1171,4696,0.750638842,0.249361158
ROCK ISLAND,22680,20495,43175,0.525303995,0.474696005
SALINE,4839,2375,7214,0.670779041,0.329220959
SANGAMON,39692,27822,67514,0.587907693,0.412092307
SCHUYLER,2051,990,3041,0.674449194,0.325550806
SCOTT,1538,480,2018,0.762140733,0.237859267
SHELBY,5726,1780,7506,0.762856382,0.237143618
ST. CLAIR,39438,33474,72912,0.540898618,0.459101382
STARK,1246,537,1783,0.69882221,0.30117779
STEPHENSON,9338,4558,13896,0.67199194,0.32800806
TAZEWELL,26991,13538,40529,0.665967579,0.334032421
UNION,3900,1887,5787,0.673924313,0.326075687
VERMILION,14028,6290,20318,0.690422286,0.309577714
WABASH,2809,885,3694,0.760422306,0.239577694
WARREN,3281,1923,5204,0.630476556,0.369523444
WASHINGTON,4354,1004,5358,0.812616648,0.187383352
WAYNE,4899,625,5524,0.88685735,0.11314265
WHITE,4358,1339,5697,0.764964016,0.235035984
WHITESIDE,9436,7125,16561,0.569772357,0.430227643
WILL,109319,81548,190867,0.572749611,0.427250389
WILLIAMSON,13081,6177,19258,0.679250182,0.320749818
WINNEBAGO,44785,30691,75476,0.593367428,0.406632572
WOODFORD,10061,3209,13270,0.758176338,0.241823662
